,Kabupaten/Kota,max light,min light,mean light,median light,std light,Persentase Penduduk Miskin (P0),Persentase Rumah Tangga yang Memiliki Akses Air Minum Layak,Jumlah Bayi Lahir Bergizi Kurang,Persentase Rumah Tangga Menggunakan Listrik PLN,features
0,Banjarnegara,8.6475,0.17,0.7790637,0.58,0.62540144,15.64,85.54,2212,99.48,"[0.0005626895, 0.14880194, 0.0422985, 0.03670534, 0.019794164, 0.0, 0.0046257004, 0.54781383, 0.024033684, 0.0002212726, 0.1951081, 0.32069486, 0.0, 0.026261978, 0.34122422, 0.24830253, 0.05077051, 0.24536039, 0.00024333604, 8.4648476e-05, 0.4337646, 7.09737e-05, 0.12097062, 0.0, 0.014947364, 0.28439125, 1.33487265e-05, 0.09188005, 0.059443317, 0.00037173796, 0.33415425, 0.002307027, 0.027928878, 0.047553327, 0.12942639, 0.16056599, 0.021475544, 0.16118613, 0.0006102499, 0.055192724, 0.010517277, 0.39256102, 0.18474, 0.028289707, 0.14510733, 0.024810998, 0.0067925067, 0.10145716, 0.051082265, 0.53989726, 0.00096953596, 0.05921688, 0.64526314, 0.13961543, 0.0028127485, 0.0032137432, 0.06682211, 0.08923485, 7.4494776e-05, 1.0122815, 0.14327645, 3.7701007e-05, 0.02081352, 0.011822485, 0.49341422, 0.09779529, 0.019347705, 0.00019937383, 0.003983126, 0.6665164, 0.5006875, 0.09822816, 0.45651025, 0.7092583, 0.36257428, 0.0009122845, 0.02346179, 0.0013569775, 0.6608124, 0.4259512, 0.089144915, 0.47160682, 0.76240283, 0.00914135, 0.010586576, 0.017332384, 0.0006119535, 0.0, 0.33943605, 1.0764767e-06, 0.06111544, 0.02369479, 0.0, 0.10315985, 0.016432248, 0.013837056, 0.080367744, 0.013992289, 0.62604785, 0.45358944, 0.12337234, 0.25671023, 0.013903224, 0.18249393, 0.015913906, 0.31417605, 8.464233e-06, 0.005563177, 0.0, 0.014795215, 0.013051713, 0.0, 0.0021211486, 0.002321314, 0.001361893, 0.0032142268, 0.636034, 0.00033851038, 0.17763811, 0.017180197, 0.00920316, 0.07071144, 0.06829281, 0.23837146, 0.38952556, 0.24474794, 0.002230804, 0.8056601, 0.0, 0.5700084, 0.016939187, 0.0146218315, 0.504558, 0.7898567, 0.26277763, 0.49976802, 0.47902238, 0.1619417, 0.10230615, 0.031414226, 0.029147591, 0.25763148, 0.01463055, 0.036532205, 0.42035487, 0.060999125, 0.0003849373, 8.795647e-05, 0.23883137, 0.22859886, 0.04013052, 0.6556072, 0.34557456, 0.50254047, 0.025373118, 0.14697602, 7.8232915e-05, 0.0030032508, 0.053195696, 0.024536392, 0.2589581, 0.01797548, 0.7876884, 0.08940095, 0.027686035, 0.06824709, 0.07177197, 0.0, 0.21622536, 0.6124298, 0.010434284, 0.027843986, 0.0, 0.31527692, 0.0027447094, 0.021160189, 0.07784987, 0.25610372, 0.0071652057, 0.020832276, 0.00021935352, 0.3822143, 0.024596335, 0.78142494, 0.6098772, 0.31097105, 0.060830478, 0.04638181, 0.092458166, 0.007859455, 0.0, 0.21081349, 0.0042021507, 0.00079603784, 0.021727117, 0.10661129, 0.0022837596, 0.0019950585, 0.12389383, 0.24932352, 0.021138221, 0.007189977, 0.0009835443, 0.04075443, 0.09148906, 0.004548583, 0.1506983, 0.12111142, 0.22555225, 0.36920014, 0.00025647169, 0.000119798744, 0.43629494, 0.07119016, 0.739089, 0.022622896, 0.0019778735, 1.384923, 0.21232359, 0.15737227, 0.20321618, 0.3676493, 0.26042175, 0.008954931, 0.0017363011, 0.18046352, 0.0014062212, 0.30924648, 0.030075138, 0.32448208, 8.7790795e-05, 0.08264, 0.043441232, 0.005263602, 0.0013858658, 0.09770741, 0.2348535, 0.1638873, 0.5068783, 0.049846068, 0.81484026, 0.58549917, 0.012609631, 0.00083901285, 0.104196936, 0.06947001, 0.010752799, 0.21256047, 0.033642836, 0.10627268, 0.23554155, 0.00015823239, 0.07281739, 0.0, 0.45520926, 0.020835081, 0.072677, 0.0, 0.0032811202, 0.0009660197, 0.3016072, 0.00017942613, 0.42614537, 0.077926256, 0.3167321, 0.0033313597, 0.44950247, 0.0021985823, 0.0006173013, 0.0, 3.188863e-05, 0.4016598, 0.00060059584, 0.0003748775, 0.050296362, 0.7609362, 0.0036909962, 0.47053024, 0.073172145, 0.0014408382, 0.0033857985, 0.0043832106, 0.15128186, 0.095135495, 0.43558183, 0.04463981, 0.0074663367, 0.029493678, 0.007698523, 0.0, 0.25889993, 0.102016315, 0.017257042, 0.10045027, 5.7048746e-05, 0.11791997, 9.218431e-05, 0.19006108, 0.009203131, 0.47792143, 0.20924275, 0.002799069, 1.8000293e-05, 0.23728593, 0.13592538, 0.0005466189, 0.5381171, 0.004125095, 0.019976877, 0.02621128, 0.00039853313, 0.04142581, 0.010419286, 0.053026468, 0.39354017, 0.40321374, 0.43991455, 0.024848714, 0.0, 0.053373806, 0.15894276, 0.030139675, 0.036889866, 0.02379131, 0.34424847, 0.026757332, 0.062404595, 0.00024280297, 0.13213643, 0.007076449, 0.013385391, 0.008744586, 0.0003666296, 0.06983212, 0.2663754, 0.8533563, 0.0, 0.03724028, 0.0026611686, 0.010792221, 0.35050866, 0.42444023, 0.2448844, 0.05941577, 0.03236291, 0.071203105, 0.460489, 0.042380102, 0.81156754, 0.01440246, 0.000493659, 0.0009210132, 0.24084441, 0.0, 0.07212621, 0.042600982, 0.08251543, 0.019310515, 0.06616862, 0.19155136, 0.72537035, 0.5424754, 0.03138796, 0.06331095, 0.005470532, 0.020186929, 0.13802129, 0.0265718, 0.06877269, 0.0, 0.009383786, 0.42004174, 0.29265472, 0.0047803554, 0.0038686723, 0.00027928496, 0.017474122, 0.068222426, 0.03221712, 0.04461958, 0.3260095, 0.8645344, 0.0906679, 0.67009455, 0.0019389925, 0.0001816448, 0.07905816, 0.0038660308, 0.0854534, 0.49420354, 0.36246365, 0.68858576, 0.21405227, 0.0010153329, 0.011677214, 0.023453955, 0.001200806, 0.25922322, 0.08942338, 0.036249984, 0.0, 0.01659146, 0.5548428, 0.019945588, 0.0027177602, 0.0005042668, 0.006614214, 0.003141739, 0.37094685, 0.0012217044, 0.04575236, 0.18492804, 0.003864149, 0.56851286, 0.25020233, 0.00037837814, 0.063590705, 0.00042558613, 0.24223074, 0.10417252, 0.50680137, 8.371056e-06, 0.0016321385, 0.9131917, 0.052568898, 0.28634188, 0.00085955317, 7.3599505e-05, 0.27017185, 0.28283426, 0.0016184119, 5.912463e-05, 0.32901508, 0.0033065265, 0.05911754, 0.023081243, 0.09153434, 0.012711681, 0.0050082398, 0.50690067, 0.5525634, 0.09385288, 0.0, 0.0023230873, 2.1078014e-05, 0.20634604, 0.0, 0.013871698, 0.005129085, 0.018103452, 0.06326811, 0.5334091, 0.3444486, 0.15419693, 0.00076308893, 0.0015106375, 0.01840635, 0.5777996, 0.4902835, 0.05026468, 0.27879193, 0.0024293908, 0.003538501, 0.00042432128, 0.0017024602, 0.040135298, 0.02138238, 0.029887956, 0.2044786, 0.03329328, 0.0016066968, 0.15331325, 0.50054777, 0.11265698, 0.51270473, 0.049268227, 0.009220973, 0.00012962012, 0.1820453, 0.20086212, 0.20065986, 0.3804279, 0.003279214, 0.7316631, 0.48596072, 0.0070987795, 0.041791495, 7.0930124e-05, 0.061580237, 0.5074338, 0.5615461, 0.20002271, 0.465593, 0.35899925, 0.22136137, 0.026655925, 0.44442362, 0.0033482555, 0.006695165, 0.24265909, 0.9098421, 0.95211846, 0.0036952482, 0.91239387, 0.59666586, 0.09005358, 0.09004768, 0.22261713, 0.023544323, 0.017329358, 0.002280616, 0.042961363]"
1,Banyumas,18.18,0.14,1.3333404,0.8425,1.6636516,13.26,92.8,3773,99.92,"[0.0014699296, 0.15002625, 0.039447986, 0.054576084, 0.029344946, 0.0, 0.004374642, 0.50244755, 0.06371861, 0.0007473485, 0.24271342, 0.30645156, 0.0, 0.060362533, 0.30594537, 0.19866897, 0.049061876, 0.2441227, 0.0017886313, 0.0005651797, 0.42189908, 0.0018099704, 0.120979644, 0.0, 0.07243289, 0.3243125, 7.4331314e-05, 0.1489269, 0.05135539, 0.00046669962, 0.30646902, 0.003217805, 0.088017635, 0.06693363, 0.12865645, 0.18823165, 0.035123058, 0.14854482, 0.002227483, 0.03861416, 0.016001614, 0.34185147, 0.34584814, 0.054832872, 0.22386172, 0.022008333, 0.022014376, 0.098575324, 0.04664368, 0.48734963, 0.0058485814, 0.048670687, 0.5807015, 0.1507167, 0.001208254, 0.01231248, 0.15005434, 0.093641244, 0.00023760955, 0.90727895, 0.16500802, 0.0018509069, 0.07883587, 0.005558106, 0.47682056, 0.13595575, 0.044252742, 0.00044963506, 0.01358646, 0.70837843, 0.45416257, 0.11315032, 0.43721068, 0.686734, 0.32349193, 0.0007675364, 0.05300829, 0.0044133803, 0.62135893, 0.40281025, 0.078893565, 0.46216834, 0.682964, 0.02928527, 0.012502956, 0.030451015, 0.0030807685, 0.0, 0.3378091, 0.00044712488, 0.08234994, 0.04949487, 0.00012055527, 0.11390853, 0.01858455, 0.020596346, 0.10674446, 0.04327332, 0.5870834, 0.41475093, 0.2028416, 0.23985545, 0.030880325, 0.17294933, 0.04378348, 0.2775467, 1.669838e-05, 0.031801265, 0.0, 0.058564927, 0.030630307, 0.0, 0.00982297, 0.015084462, 0.0013653588, 0.011682607, 0.5592987, 0.0055423956, 0.16769719, 0.044246387, 0.053065646, 0.13139257, 0.061848477, 0.31000194, 0.40370783, 0.24338832, 0.001628413, 0.80196947, 0.0, 0.5153355, 0.08206689, 0.012555492, 0.45565727, 0.70464176, 0.25169933, 0.4920818, 0.48493785, 0.20874017, 0.09711567, 0.09754751, 0.03301699, 0.293938, 0.05433411, 0.041491482, 0.4432504, 0.121563666, 0.0001127189, 0.00014392012, 0.23660104, 0.21560939, 0.12549421, 0.69867337, 0.33158085, 0.47502124, 0.033712532, 0.2906058, 0.0006594849, 0.0075830705, 0.07739914, 0.06242118, 0.28073826, 0.026347337, 0.6801713, 0.1400909, 0.05086441, 0.13545308, 0.124914855, 0.0, 0.21067272, 0.611862, 0.04016328, 0.08687038, 0.0, 0.31030542, 0.00935602, 0.089925334, 0.13906339, 0.23902884, 0.030347453, 0.074747585, 0.00091568305, 0.3454227, 0.06876048, 0.67855734, 0.5459213, 0.2601571, 0.046258654, 0.14610669, 0.09648127, 0.032780956, 0.0, 0.32347646, 0.025406808, 0.0033223343, 0.09112337, 0.110663444, 0.0050956192, 0.008028082, 0.13227299, 0.26601994, 0.02100928, 0.006972386, 0.0019147365, 0.03838286, 0.23497242, 0.013313528, 0.13284461, 0.21729256, 0.24491969, 0.31644738, 0.00043569357, 0.0016245112, 0.48670903, 0.12659663, 0.72788554, 0.0836025, 0.008265544, 1.2688093, 0.31927627, 0.21232909, 0.27823162, 0.31968236, 0.34858915, 0.034799013, 0.0014891534, 0.1573049, 0.003585776, 0.25137204, 0.039302837, 0.27369937, 3.1823558e-05, 0.13227405, 0.043822363, 0.010954032, 0.010846058, 0.07888985, 0.21781188, 0.18425284, 0.46335375, 0.043099124, 0.78818, 0.54163665, 0.022761673, 0.0053716376, 0.20296729, 0.054603312, 0.05856716, 0.22888076, 0.04092776, 0.13822985, 0.23554261, 0.0005663026, 0.09509601, 0.0, 0.4043022, 0.026329385, 0.054604337, 0.0, 0.003153012, 0.013836652, 0.32403865, 0.0014253021, 0.3734588, 0.0978975, 0.35161522, 0.005126164, 0.458361, 0.0050122235, 0.0009825851, 5.2123476e-05, 0.0, 0.38242748, 0.00077491155, 9.853711e-05, 0.093726985, 0.6836613, 0.020261247, 0.42662847, 0.072538406, 0.0035494447, 0.013336131, 0.013301552, 0.1910958, 0.085012354, 0.39761996, 0.062414296, 0.011416227, 0.1126312, 0.04089392, 0.00030654806, 0.25173295, 0.09829814, 0.087337084, 0.10371853, 0.00026044896, 0.11298775, 0.001010612, 0.1982687, 0.030125735, 0.44753638, 0.23248842, 0.017907392, 0.0002622836, 0.29845545, 0.1533733, 0.0024980314, 0.53213006, 0.021268949, 0.02425231, 0.07933383, 0.008206539, 0.0833976, 0.05721146, 0.17088003, 0.41826978, 0.3669154, 0.40640357, 0.08478956, 0.0, 0.13620347, 0.21524926, 0.091835506, 0.07053725, 0.10081558, 0.37614828, 0.07586536, 0.11037565, 0.0003850623, 0.26520008, 0.015255698, 0.01923016, 0.034399804, 0.0020500696, 0.055347938, 0.3137407, 0.8177679, 0.0, 0.03433001, 0.019390658, 0.018975338, 0.34052268, 0.40830418, 0.2262132, 0.06400076, 0.05048042, 0.11329953, 0.45068327, 0.121076934, 0.7843744, 0.079113126, 0.0026764187, 0.0011937881, 0.2384446, 0.0, 0.08754934, 0.12455068, 0.12792899, 0.030907663, 0.09785462, 0.18696281, 0.6676518, 0.5052779, 0.06582524, 0.054597598, 0.013771819, 0.02802702, 0.11151247, 0.078233585, 0.102394655, 8.574858e-05, 0.006087505, 0.37097117, 0.24301206, 0.007252724, 0.013968223, 0.00065442023, 0.0129617825, 0.13562694, 0.05115043, 0.07931261, 0.40049446, 0.8663207, 0.07251999, 0.66650176, 0.0019318663, 0.0011689496, 0.07561232, 0.005364692, 0.07442467, 0.40951076, 0.31340808, 0.66579074, 0.22217655, 0.0015361777, 0.041885138, 0.03797919, 0.0017280693, 0.2355085, 0.1566438, 0.05137259, 0.0, 0.069003515, 0.5002273, 0.053178236, 0.0030158455, 0.00064518483, 0.023997122, 0.010516315, 0.32725468, 0.017472396, 0.05378883, 0.19961672, 0.013993597, 0.5113673, 0.23974438, 0.0051944354, 0.13161945, 0.010460981, 0.22103278, 0.099049926, 0.4660102, 0.00023210135, 0.008310075, 0.8904229, 0.058166035, 0.25987723, 0.006974194, 0.00010446739, 0.26019332, 0.3118814, 0.0017822064, 0.0, 0.3811523, 0.009280453, 0.16616234, 0.0907464, 0.1645894, 0.05277149, 0.016717222, 0.47129616, 0.6311684, 0.08932859, 0.0, 0.012490707, 1.6824393e-05, 0.20220035, 0.00067010574, 0.051408745, 0.009140498, 0.07431266, 0.067457326, 0.49347654, 0.35132483, 0.17929097, 0.001100805, 0.013179663, 0.075402535, 0.5356385, 0.42264467, 0.13803954, 0.23912205, 0.011413188, 0.008441503, 0.0048639807, 0.00255622, 0.039531387, 0.027719878, 0.049253926, 0.20528865, 0.070847005, 0.011628207, 0.13786599, 0.4642128, 0.10159454, 0.46397087, 0.09176324, 0.0125045, 0.00022856888, 0.22566742, 0.24958353, 0.1825009, 0.38676733, 0.02330971, 0.65234494, 0.44851118, 0.047527015, 0.13925849, 8.318254e-05, 0.08258691, 0.42757916, 0.5403414, 0.19307476, 0.4769094, 0.3164501, 0.2504459, 0.09699371, 0.413156, 0.005935727, 0.040571798, 0.22559862, 0.81397474, 0.88524574, 0.026123857, 0.9370955, 0.5151444, 0.1127488, 0.085365124, 0.2422088, 0.063762255, 0.012563394, 0.015925739, 0.048058208]"
2,Batang,66.92,0.2,1.723458,1.025,3.165268,9.13,98.09,3782,99.45,"[8.406552e-05, 0.1573827, 0.022582663, 0.023627263, 0.01772305, 0.0, 0.0039212927, 0.37933096, 0.06655876, 0.0020427362, 0.27793127, 0.22155146, 0.0, 0.033266764, 0.2691065, 0.21297036, 0.07668755, 0.23849094, 6.8242174e-05, 0.00016973795, 0.3206206, 0.0031655596, 0.17409435, 0.00038540812, 0.053624295, 0.2926045, 1.1367387e-05, 0.13784967, 0.07899998, 0.00031068802, 0.21702008, 0.002138451, 0.08343424, 0.072289996, 0.09526856, 0.12141156, 0.013691086, 0.12610346, 0.0017076104, 0.06869972, 0.008184964, 0.29702806, 0.34558082, 0.035160642, 0.25969264, 0.024102384, 0.020771481, 0.09670845, 0.062819675, 0.44856778, 0.005887618, 0.037309863, 0.44104064, 0.07384661, 0.00140533, 0.0056652017, 0.1615693, 0.12238402, 0.00046007909, 0.7345582, 0.1416461, 0.0011613409, 0.05378125, 0.005712052, 0.41948223, 0.16018315, 0.044698242, 3.3634293e-05, 0.013504895, 0.695372, 0.40349057, 0.16053402, 0.44076157, 0.6394247, 0.24822049, 0.0017037445, 0.06339836, 0.0043945364, 0.5599938, 0.31625918, 0.06292934, 0.43467367, 0.5589603, 0.020331748, 0.0045913793, 0.030989666, 0.0015892099, 0.0, 0.290636, 3.9587343e-05, 0.092689686, 0.0627593, 0.00013034401, 0.06350033, 0.027307943, 0.009200736, 0.13113637, 0.044547115, 0.4615491, 0.40724885, 0.25670883, 0.14241938, 0.022658477, 0.15588644, 0.039127562, 0.19151863, 5.3869102e-05, 0.025229497, 0.0, 0.058588315, 0.037491415, 0.0, 0.0052076434, 0.017108835, 0.0019093973, 0.0046024644, 0.570275, 0.0051687807, 0.14813486, 0.038596243, 0.036461517, 0.16630939, 0.072185256, 0.24306671, 0.28055218, 0.22058585, 0.004108395, 0.8657119, 0.0, 0.42500025, 0.055728074, 0.014533995, 0.361596, 0.6291674, 0.20365323, 0.41726768, 0.4850777, 0.23824646, 0.070227, 0.08867233, 0.016155345, 0.32145914, 0.03758188, 0.018887902, 0.3947512, 0.088124014, 0.0002926171, 0.00022438748, 0.16779138, 0.19012004, 0.10938286, 0.703196, 0.18907012, 0.4532492, 0.014586954, 0.3095071, 5.0044582e-05, 0.010339529, 0.08319298, 0.045878705, 0.2714317, 0.031097366, 0.6264637, 0.13837056, 0.042712394, 0.097214304, 0.17112759, 0.0, 0.23873259, 0.5250778, 0.034838524, 0.07040683, 0.0, 0.31542304, 0.0039088, 0.07281202, 0.13929817, 0.26672173, 0.024342421, 0.059952512, 0.00023039411, 0.34067243, 0.06709499, 0.5773629, 0.41056797, 0.27734143, 0.030397434, 0.13069806, 0.10506342, 0.022905681, 0.0, 0.3292584, 0.017958865, 0.0010038406, 0.04797915, 0.0642391, 0.004646628, 0.007055007, 0.11257495, 0.25609148, 0.013930813, 0.008090464, 0.0021229768, 0.018979054, 0.24159776, 0.0060629053, 0.10128276, 0.25193262, 0.14085962, 0.28166816, 0.0007334605, 0.00019877216, 0.5237324, 0.15504396, 0.67960066, 0.073947586, 0.007901357, 1.1101329, 0.35810348, 0.25408167, 0.3307275, 0.28327796, 0.3632066, 0.02952296, 0.0037704648, 0.13119467, 0.004353565, 0.24984033, 0.027499719, 0.260741, 0.0, 0.16081893, 0.053445533, 0.008876958, 0.0073680785, 0.06588642, 0.25986737, 0.13816184, 0.42304865, 0.033322643, 0.72430956, 0.44870684, 0.0071273562, 0.001962169, 0.22716548, 0.05486466, 0.04532349, 0.12785676, 0.048650127, 0.18672873, 0.20266686, 0.0029018023, 0.11512907, 0.0, 0.30451205, 0.028303089, 0.066833675, 3.1981244e-07, 0.0095381765, 0.01167724, 0.2603493, 0.00035408838, 0.29445168, 0.10870393, 0.43447426, 0.0054142, 0.43446958, 0.0011501332, 0.0015385306, 0.0, 6.541188e-05, 0.32546955, 0.00070002966, 0.0007384199, 0.106181666, 0.6198875, 0.014581811, 0.34575057, 0.043964222, 0.00032630947, 0.017031897, 0.006786046, 0.09991378, 0.065233484, 0.29571614, 0.06676895, 0.013473064, 0.08752808, 0.03191839, 0.0005852015, 0.15176935, 0.08961012, 0.055822823, 0.07763732, 0.0, 0.062914744, 0.0006351506, 0.13893129, 0.023600036, 0.40500584, 0.32088166, 0.018445862, 0.00038198108, 0.23158778, 0.1866257, 0.002461197, 0.47515613, 0.022183811, 0.038763184, 0.07430146, 0.009383248, 0.08372454, 0.047275618, 0.15388535, 0.35726377, 0.36246893, 0.38031512, 0.078121856, 0.0, 0.13045415, 0.14937586, 0.08414876, 0.046105426, 0.075289175, 0.29282364, 0.07899219, 0.0981621, 0.0005042904, 0.24240716, 0.01997703, 0.024059743, 0.033446394, 0.0017613476, 0.039967675, 0.3356328, 0.6881184, 2.1410945e-06, 0.03296455, 0.015512836, 0.017203845, 0.28720266, 0.30345863, 0.1846395, 0.042076983, 0.033722296, 0.11420149, 0.45337194, 0.11952786, 0.6610536, 0.057675406, 0.00010854472, 0.0013845782, 0.24510594, 0.0, 0.11158597, 0.112525046, 0.14677571, 0.036352713, 0.11548467, 0.11613206, 0.5374972, 0.39134797, 0.06680477, 0.08902818, 0.019913157, 0.037794415, 0.11623935, 0.073117726, 0.072218485, 1.8594306e-05, 0.00920694, 0.28745544, 0.2281019, 0.005960966, 0.011210866, 0.0009262909, 0.014347021, 0.14609951, 0.027247908, 0.10274733, 0.3701772, 0.8834412, 0.10677394, 0.61391675, 0.0034739834, 0.0003161218, 0.06379951, 0.0057993424, 0.11452179, 0.3614169, 0.2727396, 0.6915802, 0.20383438, 0.0033908065, 0.036311656, 0.053713813, 0.00012833122, 0.16506541, 0.18973498, 0.03767022, 0.0, 0.05563261, 0.3879256, 0.03870206, 0.0080369115, 6.5578264e-05, 0.025095528, 0.012473221, 0.28240687, 0.014030262, 0.032161035, 0.27688897, 0.016750475, 0.3935979, 0.18128179, 0.004347856, 0.14871943, 0.00567017, 0.15166645, 0.1111553, 0.3613526, 0.0016743111, 0.009758669, 0.79665995, 0.08718583, 0.24297239, 0.006680411, 0.00016738314, 0.24088877, 0.31914145, 0.0023407512, 3.9949678e-06, 0.24678846, 0.009303504, 0.15701723, 0.09079842, 0.19554906, 0.037051145, 0.010159185, 0.3749509, 0.6556678, 0.094824985, 0.0, 0.0064996094, 0.0, 0.12287055, 0.00024528988, 0.053306393, 0.0043473123, 0.061854422, 0.04623157, 0.34386998, 0.31059608, 0.18886071, 0.0015700939, 0.004091974, 0.07185349, 0.5010803, 0.36967102, 0.12388979, 0.1933673, 0.00960021, 0.0020060178, 0.00279984, 0.0051487433, 0.027588718, 0.025594065, 0.067436, 0.11397623, 0.059131194, 0.008325719, 0.13967374, 0.4516861, 0.06595735, 0.39045075, 0.107056335, 0.020384805, 0.0, 0.23855792, 0.29479986, 0.11352808, 0.30431607, 0.017417489, 0.5597276, 0.29306564, 0.035963614, 0.114579596, 4.1560004e-05, 0.09599664, 0.40432927, 0.40088326, 0.12927096, 0.4375966, 0.3350844, 0.24269773, 0.08914233, 0.32374695, 0.007508904, 0.020593729, 0.13981216, 0.7339556, 0.8474424, 0.021489443, 0.7446004, 0.44940862, 0.09173641, 0.082173645, 0.17802717, 0.060313556, 0.0162022, 0.014273964, 0.043488692]"
